代絏,代璣ゅ嘿,代いゅ嘿,菏代ら戳,代溃hpa,癸访,硉,秖,ら酚计,讽ら程蔼放C,讽ら程放C,讽らキА放C
466900,Tamsui,睭,2020/11/1,1055.3125,71.70833333,33.9,0,7.2,29.5,20,24.6
466900,Tamsui,睭,2020/11/2,1014.070833,76.45833333,41.8,4.5,1.8,26.2,20.2,23.3
466900,Tamsui,睭,2020/11/3,1017.416667,80.29166667,43.5,4,0.3,23.6,17.4,20.1
466900,Tamsui,睭,2020/11/4,1017.825,64.41666667,38.2,0,4.7,24.4,17.1,21
466900,Tamsui,睭,2020/11/5,1015.983333,75.29166667,26.5,0,0.5,24.2,19.6,22.3
466900,Tamsui,睭,2020/11/6,1010.504167,72.16666667,58.9,0,9.4,30.9,22,27.2
466900,Tamsui,睭,2020/11/7,1012.895833,79.83333333,71,0,2.4,31.4,19.7,25.2
466900,Tamsui,睭,2020/11/8,1018.883333,88.75,56.3,1,0,20.7,18.4,19.4
466900,Tamsui,睭,2020/11/9,1019.058333,70.875,50.2,0,0,20.8,18.9,20
466900,Tamsui,睭,2020/11/10,1020.141667,67.79166667,49.2,0,0,21.8,19.1,20.6
466900,Tamsui,睭,2020/11/11,1021.454167,63.95833333,45.7,0,2.5,23.1,20.1,21.5
466900,Tamsui,睭,2020/11/12,1018.5,74.5,37.8,0,0.4,23.6,21.1,22.3
466900,Tamsui,睭,2020/11/13,1017.425,91.16666667,44.7,2,0,22.8,20.3,21.5
466900,Tamsui,睭,2020/11/14,1018.358333,77.625,29.3,0,0.1,23.2,19.9,21.8
466900,Tamsui,睭,2020/11/15,1016.991667,71.29166667,32.3,0,8.9,28.9,20,24
466900,Tamsui,睭,2020/11/16,1015.2,65.33333333,44.2,0,7.5,29.7,20.7,25.3
466900,Tamsui,睭,2020/11/17,1012.9125,65.25,68.6,0,9.6,28.7,24.5,26
466900,Tamsui,睭,2020/11/18,1011.170833,78.75,26.5,0,9.3,27.9,21.7,24.4
466900,Tamsui,睭,2020/11/19,1010.333333,82.16666667,22.4,0,7.5,26.7,21.9,24
466900,Tamsui,睭,2020/11/20,1012.420833,81.20833333,39,0,3.5,28.1,22.1,24.3
466900,Tamsui,睭,2020/11/21,1013.879167,80.29166667,31.3,0,0.8,27.9,22.6,24.5
466900,Tamsui,睭,2020/11/22,1016.904167,86.70833333,47.4,0,4.7,26.4,19.9,23.2
466900,Tamsui,睭,2020/11/23,1019.1875,80.5,46.6,1,2.2,25.2,19.8,21.9
466900,Tamsui,睭,2020/11/24,1018.370833,71.25,39.9,0,7.8,26.4,20.3,23
466900,Tamsui,睭,2020/11/25,1016.691667,68.45833333,35.8,0,9.6,28.3,20.9,24.5
466900,Tamsui,睭,2020/11/26,1017.216667,63.16666667,44.4,0,9.6,29.4,23.6,25.6
466900,Tamsui,睭,2020/11/27,1020.370833,82.41666667,65.9,16.5,1.5,24.1,18.5,20.8
466900,Tamsui,睭,2020/11/28,1020.991667,89.58333333,54.9,3,0,19.8,18.2,18.8
466900,Tamsui,睭,2020/11/29,978.7291667,78.25,48.2,0,0,19.9,17.9,18.7
